	labels	text	predicted
108	1	Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL	0
110	1	@USER I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?	1
115	1	#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL	1
129	1	#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL	1
130	1	#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL	0
135	1	#BoycottNFL .@USER You are dead to me. @USER @USER URL	1
136	1	@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's  #MAGA.  Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL	0
138	1	#BlaseyFord It’s so comical that liberals always want it both ways first women need to be treated as equals but when it comes to Ford testifying they say it’s unfair to have more men asking her questions. Which is it Dems are women equal or should we receive special treatment?	0
140	1	#Ted always has a feel for the most appropriate public behavior. But, often, he is unable to control himself. #GOPDysfunction URL	0
142	1	@USER  Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!	1
143	1	@USER #Holder needed to be impeached	0
147	1	#BelieveAllWomen just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture	1
152	1	#SierraBurgessIsALoser  She is me when my phone dings 😂	0
153	1	@USER #metoo are all racist!	1
154	1	#GOP still acting like the wimps they are.. What!? they haven’t yet realized that Liberals will hate them regardless of their sentiments.. Either Republicans are just too stupid to get out of their own way or they’re just tilted to far left.. #ConfirmKavanaughNow	1
156	1	"#TheArchers I want to be brilliant at Karate so I can kick the shit out of everyone"""""	1
160	1	#DregsOfSociety  ??? #Deplorables   Liberals usually dehumanize those they want to exterminate later URL	1
164	1	#EmmyAwards2018 - Ratings tank as expected.  Who can possibly stand to watch so many liberals in one place at one time.	0
168	1	@USER #Gutierrez has always been nothing more than a #racebaiter	1
173	1	#Elitist #Actors #NBC #Liberals of #Dems in #Hollywood at the #Emmy Awards a 'toothless' #NBC self-promotion onslaught peppered with #MeToo cracks but it was planned, staged and okay because they are #Democrats #Socialist #Liberals of the #Left #WALKAWAY ! URL	0
175	1	#DrFord  #DearProfessorFord  Is a FRAUD Female @USER group paid for and organized by #GeorgeSoros URL	0
177	1	#BlueWave #DumpTrump …give my love 2, or cooperate/compromise w/, conservatives/Trump supporters who constantly vilify marginalized groups, who constantly attack women’s rights 2 make choices about their own bodies,…	0
180	1	#NightMayor 's DT cycle track can easily open Antifa tennis courts inside Crescent Heights until we are able to trash Nenshi’s communist vape shop!	1
182	1	#ArunJaitleyStepDown He is most shameless #FM in history of India and audacity and shamelessness with which is lies in public is disgrace to post.	1
185	1	"#Conservatives £2 bn Housing on-trick @USER -  What a crock of sh#te""! @USER #HousingCrisis  URL"	1
186	1	2 weeks of resp done and I still don't know shit my ass still on vacation mode 😪	1
189	1	#Coupdetat of #Spain in #Catalona. #Spain is a  #fakedemocracy @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER #cddr #shameonSpain #WakeupEurope @USER @USER URL	0
196	1	#Liberalismisamentaldisorder, but it is also a danger to our country. #Liberals are showing themselves to be utterly hateful. They do not CARE about TRUTH, they only care about POWER.	1
201	1	@USER These are all  coranated attacks from idiot loons! They will get worse much worse before the election! Can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? Idiots!	1
202	1	@USER @USER Awwww she is so stinking cute! How old is she now?	1
203	1	#Benghazi  #Haiti  #UraniumOne  #SethRich What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! #DrainTheSwamp  #HillaryForPrison  #VoteRed #MAGA URL	0
207	1	#JoinTheFight    Join the fight against American Communists... Democrats  and  Liberals have taken this crap to the edge and there is no coming back. They are  openly promoting the Destruction of  AMERICA.  #JoinTheFightAgainstCommunism URL	1
212	1	@USER @USER has stated that any talk of Zionist involvement in 9/11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. He should be ashamed of himself but he’s not because he’s #Zionel	1
215	1	#Khaleesi kinda watching #HIAC ! Wtf does she think she is, a person? Pffft pathetic URL	1
216	1	And🤷🏽‍♂️ females b on the same shit URL	1
221	1	#DeclassifyDocuments I love watching liberals like Maria squirm. #Outnumbered	0
222	1	#PoliticsInFocus Look Donald! You are only a duck, stop patronizing me! URL	1
228	1	#CarbonTax works and will put tons more money BACK INTO Canadian pockets.  .@USER  .@USER  .@USER .@USER  Part of why Trudeau won in 2015 was campaigning on a national carbon tax. Conservatives died then. They want another death in 2019...we will oblige. URL	0
229	1	Antonia Evans was either sex trafficked or cremated.	1
233	1	#TheView stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of	1
241	1	And these entertainment agencies just gonna have to be an ass about it. URL	1
243	1	#Trump Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.	1
247	1	#DisarmThem? This goes to show how moronic Antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot, so don't do it. #2A URL	1
249	1	#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe	1
258	1	#CincinnatiEnquirer steps into #Gun Control FINALLY. Took a #MassShhoting on their damn door step for their #editors to wake up, but better late than never. URL	1
259	1	!!!!bitch i’m fucking coming back URL	1
260	1	#Liberals Are Reaching Peak Desperation To Call On #PhillipRuddock To Talk With #Turnbull To Convince Him To Help with #WentworthVotes 18 Sept 2018  @USER #Auspol #LNP #NSWpol @USER  @USER @USER #LNPMemes URL	0
262	1	$uicideboy$ ON HALLOWEEN its aboout to get sooooo FUCKING spooky	1
264	1	#Democrat controlled city with strict gun control laws and @USER wants to blame the #GOP Um, isn’t it you rich #Democrats trying to keep the blacks in poverty? #WalkAway URL	1
265	1	@USER Got to love that the people making the laws tend to know nothing about the subject they're making the law for. You should hear some of the gun control laws people try to pass here in the states.	0
274	1	@USER #WalkAWayFromCatholicism it is a corrupt to the core and become a giant autocratic pedophile ring.	1
275	1	#CALIFORNIA PATRIOTS... especially those in #CA21  Obama/Soros are attempting to take this House seat to get control of Congress.  Say no to TJ Cox.  He is a shill Candidate fronted by the dastardly duo.  Please get out and vote David Valadao for House, Dist 21! Follow @USER URL	1
277	1	- When she takes her nigga name out her bio. URL	1
279	1	#ArrestGeorgeSoros He Funds #DomesticTerrorists #Antifa URL	0
281	1	#Conservatives Govt have run up debt in spite of austerity cuts while the rich have doubled their wealth. #inequality  URL via @USER	0
282	1	#CrowderConfronts continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. #dontbeafraid #confrontwithtruth URL	1
297	1	#BiggBossTelugu2 how many of you #KaushalArmy cum @USER fans... URL	0
307	1	#1 son,  knockin it out the fuckin park...... URL	1
308	1	@USER @USER @USER Okay and? Anybody can go to Eredivise and score 15+ goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasn’t produced any talent like Pulisic in a long time. It’s okay, maybe you guys will one day.	1
309	1	#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials	1
310	1	#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials	1
312	1	#Christian #America – If we go by #Trump’s example, where liberals support open borders, I guess conservatives support school shootings.   Please explain how this makes America great again.	0
313	1	@USER @USER @USER She is the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.	1
314	1	#Democrats #Liberals you are being #threatened by #Armed #Nazis and you talk about #disarmament of yourselves and of #Disconnection from the #Military #Lifestyle ?  You should #broadcast your #Armory and #killSkills #RightFuckingNOW URL	1
315	1	699. Just wanted to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER	1
323	1	#AVALANCHE I'm sorry! I see you! I love you! I was an asshole! You know how we are #maga	1
324	1	#FF @USER he is an alien from the future 🙌🏻👽🌃 URL	1
326	1	"#FamiliarWife JH-OMG, she is crazy WJ-Wait!....yes, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some""? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy, there is congestion JH-Woo-jin~ URL"	1
331	1	#ThingsDarthVaderWouldNeverSay yup , white mask privilege at it's finest. Always trying to keep a black mask down #BlackLivesMatter #Qanon #Antifa #AlexJones #Infowars #StarWars #maytheforcebewithyou #thirdshiftzombies #Podcast #radio #WhiteSupremacy URL	1
333	1	All I’m saying if we cool and you feel any type of way about me.. speak the fuck up.	1
334	1	#Cuckservative Traitors Are Worse Than Fortnite Players URL #Conservatives #TriggerWarningRadio	0
335	1	#Barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU  ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG URL	1
339	1	#ConstitutionDay It's very odd for the alt right conservatives to say that we are ruining the constitution just because we want #GunControlNow but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not White wanting to live	1
347	1	#LiberalLogic  #Kavanaugh looks predatory. Therefore he's guilty.  #Liberals are DANGEROUS people who should not govern anyone or anything. URL	1
351	1	#BREAKING. #Greece: Molotov cocktails fly after protest honouring killed antifa arti... URL via @USER URL	0
352	1	#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!	1
357	1	4. (Part 2) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?	1
362	1	#Repost theleadersmindset • • • 📍Hola Leaders!🔥 ✔️Type “READY” if you are ready to follow this steps. - “ Set goals, stay quiet about them, smash the shit out of them, clap for your damn… URL	1
369	1	#Liberals / #Democrats THIS is what you stand for. If not, then #WalkAway URL	0
370	1	#Beeto Just Demonstrated How To Lose An Election In #Texas   URL #MAGA @USER #rkba @USER #DVC	0
371	1	And have a bitch thinking you niggas have money and you tf don’t.	1
372	1	*Extremely* back on my bullshit. URL	1
376	1	7 fucking years. #MyTwitterAnniversary URL	1
377	1	#Dems are disgusting. They only believe women who accuse conservatives of abuse crimes. When liberals are accused, they ignore the accusations. URL	1
382	1	#ChristineBlaseyFord is only being harassed by members of the Antifa the radical arm of the Democratic Party funded by George Soros.  #VoteRedToSaveAmerica	0
389	1	"50 Cent Calls Out Joe Budden's Bullshit"" On Instagram URL URL"	1
400	1	#bb20 actually question why do people want Jc to win more than Angela? He has been way meaner, says the n word repeatly, makes fun of eating disorders, and sexually harasses houseguests.She is just as much as an underdog to win so dont use that excuse. #bb20  #tangela	1
403	1	2018 not surprised it starts from the top!!!  Karma a bitch watch!!!! URL	1
406	1	Alright let me get right with God bc Mother Nature is like fuck humans URL	1
408	1	#Hillary and @ least 16 other #AngryDemocrats #WorldWarQ #WWG1WGA #MAGA #RedTsunami #AmericaFirst #WalkAway #Truth URL	0
413	1	#Antifa is recruiting for a designated #terrorist organization URL	1
414	1	#Hypocrites #DemocratsHateAmerica #LiberalismIsAMentalDisorder EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT... URL	1
420	1	@USER @USER As I have said the media and money Soros with dip shit Waters is creating a civil war.	1
422	1	#Texas Ted Cruz campaign is sending people solicitations disguised as official looking county summons. Elderly residents have been confused by the notice to appear. He is so skeezy.    URL	0
426	1	1 tf. He saw that shit. URL	1
428	1	Anyone who finds M*neta's behavior funny can fuck off and die	1
429	1	#GoodMorningAmerica  #TuesdayMotivation #Thankyou #FatherGod the #Americanpeople will begin to see the #truth about our #governmentcorruption @USER @USER @USER #mediaCorruption #NoRedaction #DeclassifyFISA #Declassification completely #Obama #HillaryClinton #Lies #Leakers #liberals URL	0
432	1	@USER The difference between you and I as I stated before, and this inane asinine comment have solidified is I bring facts and truth, while all you have is lies and bullshit. Present a single shred of credible evidence to support a single thing you've just said. Lies is all you've got.	1
433	1	@USER Damn I felt this shit. Why you so loud lol	1
437	1	#MSNBC #Hardball @USER Bingo you are absolutely correct he cannot bring President Obama down. He can’t get over how President Obama humiliated him at the White House correspondents dinner and I can guarantee you that is a definite driver of his hate for President Obama	1
439	1	#CnnIsFakeNews @USER @USER you wonder why your ratings suck... #cnnisajoke #FakeNews #MAGA URL	1
443	1	$b album definitely worth the fucking wait	1
445	1	"#JoeScarborough is a vile excuse for a journalist"". Here he is criticizing #Trump yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS. @USER"	1
447	1	Ain’t nobody shit if you ask me... including myself.	1
455	1	"The Dregs of Society""... more LABELINGand DEHUMANIZING Conservatives.I suggest,WE, Conservatives keep OUR ammo dry and OUR guns loaded..If the Fascist Liberal Left THINK Conservatives WILL go quietly into internment camps or slaughtered in the streets they NEED a REALITY check. URL"	1
460	1	#Feinstein you cant say anything truthful.  You are a loers and liar. URL	1
462	1	#LifeIsButepu when you have sex anytime you want but you are single	0
468	1	#Nigeria #Naija #9ja 'You are the most incompetent leader in Nigeria’s history' – Atiku blasts Buhari URL By championnewsng Via URL	1
470	1	#Emmys  Well, most of those ex-crackheads are liberals and Democrats; so ...	1
475	1	@USER #Diversity only works when those joining the new group want to be a part of the team.   #Islam hates every non-Muslim   #Fail  #Unicorns	1
478	1	// SO WANT TO KICK TWITTERFUCK ASS.	1
480	1	#FailedDemFeinstein should have quit decades ago. She is a disgrace.  Feinstein blames GOP after Kavanaugh accuser stays mum, admits 'I can't say everything's truthful'  URL	1
483	1	@USER @USER @USER Fascism was also against liberals as is Antifa according to your meme.	0
488	1	@USER fuck	1
491	1	. a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan ❤️	1
494	1	#Conservatives don’t care what you post..it’s @USER propaganda.. URL	0
495	1	#IDIOTS Is there nothing beneath them? Lol. What fools Liberals are! #MAGA #KAG 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 URL	1
502	1	@USER The kindest explanation is that he is tone-deaf.  It's hard to feel kind when he and his ilk do this repeatedly.	1
503	1	#AmazonPets Etta can be tricky to photograph because of her colouring, but she is BEAUTIFUL and she knows it. She is in charge, has first dibs on treats, and will shout for our attention whenever she comes in the house. She kills wild rabbits but hangs out in the hutch with ours. URL	1
505	1	#SugarDaddy Retweet if you are under 30 and would like share memes with each other and we can talk about dumb shit. Cuz baby I’m broke as shit but this love rich URL	1
507	1	#GeoffreyOwens niggas don’t really understand...levels to career pursuits	1
509	1	...what about death _metal_? I want more death METAL... Tell me, you hateful Keebler Elf, WHERE CAN I HAVE MORE DEATH METAL???? URL	1
511	1	#Kavanaugh is a disciple of Anthony Kennedy, who 🎁ed liberals w/3 unconstitutional opinions! He's Trump's con to con conservatives to 🤔ing #SCOTUS is moving right! Were @USER smart, they'd do everything to get BK the 🏁. But they won't! Idiots! #TuesdayThoughts URL	0
512	1	#America  ... tear down that #Wall! URL #tcot #partisanship #Trump #thewall #Borderwall #liberty #civilsociety #think #Conservatives #Democrats #Progressives #liberals #Independent #libertarians #GOP #DNC #CriticalThinking	0
515	1	Am I a dickhead ???? Probably yes	1
526	1	(cr1tikal voice) smef my ass cheeks	1
531	1	@USER 'cause everyone knows a real leader falls into a van like a sack of potatoes.....	1
533	1	"#BoycottNike campaign must continue and grow  Paying overseas staff $0.20 an hour is not okay because your staff is over there"".   You are exploiting poor women/men in the world.  This is more than Americans can stand. URL"	1
549	1	"#NEWS Jeff Sessions: If you want more death, 'listen to the ACLU, Antifa, Black Lives Matter'"" URL #CNBC"""	1
554	1	#David #Miliband #DavidMiliband flew away  in #NewYork to be with the #US #Liberals #Democrats - had to flee #Corbynists hatred of Jews	1
555	1	Anyway this game sucks :)	1
559	1	#ibelieveblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash !! From dems and Iran  ! Why she spoke after  #JohnKerryIranMeeting ?	1
566	1	#Conservatives do NOT represent all Canadians.   They are Authoritarian scum.   #cdnpoli #onpoli URL	1
567	1	"#Ford's attorney says she's receiving death threats and has had to move her family to safety"". Where's the proof that #Democrats #Antifa are not doing this to promote this circus?"""	1
569	1	#scottgimple ruined #TheWalkingDead and now he is doing the same to #FearTWD . Hope the checks cash forever because he should never get another job. #AMC	0
572	1	Another season for Tom Brady to give it to these niggas	1
579	1	"#LifeIsButepu when you are black and can say the word nigga"". Feel me my niggas??? URL"	1
584	1	#Austerity Low pay #TuitionFees  Lack of housing Wages falling #UniversalCredit Unaffordable rents #NHS crisis Crap railways Empty shops #Brexit No deal exit from EU #Windrush #Grenfell   In just 8 short years the @USER have completely fucked the UK	1
587	1	@USER #ThoseThatAreTheLoudest are afraid, JUSTICE is coming #Bono is a scam just like the #ClintonFoundation #PedoWood #Haiti URL	1
591	1	3 days before BBC Radio 2’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me 😑👍🏻	1
592	1	#tytlive Trump needs to go because he is a danger to the country and the world.  Any way we can get rid of him is good	1
594	1	@USER #DavidHogg, you're nobody.	1
601	1	28, 27, 25 and 21 but like,, it’s still really miserable and unpleasant for us?? And like they even told me how they weren’t happy and would have got divorced before I was even born so I’m like cool cool I was literally born into hatred that’s awesome no wonder I’m such a fuckup	1
609	1	#DeSantis=DeRacist, as bad a choice as he is, he “distanced” himself from the Prez’s comments today questioning any deaths in Puerto Rico from Hurricane Maria @USER @USER #whataputz	0
613	1	0-1 lost my acca on the first fucking fight cba	1
614	1	@USER @USER I'll use that one the next time im in a gun control debate or in a debate about free speech or taxes. Yes you can choose to be irresponsible or choose not to be. I argue responsible. Whats wrong with that? Don't justify murder by saying it was never alive or its my right.	1
615	1	@USER @USER Who the hell does he think he is?	1
617	1	#LiberalismIsAMentalDisorder #Hypocrites #DemocratsHateAmerica #DemocratsAreDangerous EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT. URL	1
629	1	88% of these niggas have podcasts and YouTube channels dedicated to this and shit ain’t getting solved so URL	1
632	1	Anytime I randomly bust out laughing it’s because I remembered some dumb shit Albria said 😭😭	1
634	1	@USER @USER 😂 You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard  family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck	1
637	1	5k Bitches 🎉💙	1
638	1	#Liberals always up to dirty tricks to get their way. 👇👇 URL	1
639	1	#Conservatives are more upset about #bertenernie being #gay than having a #sexualpredator in the @USER a hooker as @USER and a #rapist as #supremecourtjustice	1
640	1	#Antifa protest in #Athens for the 5 years after the murder of Pavlos Fyssas by Golden Dawn.  Their voters are complicit to their crimes. #KillahP URL	0
649	1	#Conservatives just like old #Garbage bags blowing in the wind, here's an old garbage bag now... URL	1
657	1	#Bakersfield is why we need gun control! Sorry for the victims other than the gunman himself I hope he rots in hell!	1
663	1	#HonourSacrificeBoycottMatch I hope d human rights rats r happy!hope Sidhu is happy!  I hope d liberals r happy! Let’s play cricket wth thm let’s thank thm 4 wht they r doing 2our soldiers Let’s celebrate our impotence funny a piddly little nation like pak is taking us 4 a ride	1
665	1	#ConfirmKavanaugh ✅ #Kavanaugh #SCOTUS #POTUS45 #PresidentTrump #AmericaFirst #MAGA#KAG 🚫Anti #Trump liberal activist Accuser  #Ford makes accusation but  not willing to be subject 2 B question? Suffer the consequence of filing a false charge #LockHerUp  URL	0
667	1	#Resist traitors caught on video breaking our laws to further their #Communist #Socialism ways and slow down the #Trump agenda. They are the DC Chapter of Democrat Socialists of America. Forget anTifa, that is a distraction from the real Resistance. #MAGA  URL	1
676	1	#ChristineBlaseyFord was grinding #Kavanaugh at a party almost 40yrs ago.....You gotta love the age, of this ridiculous #MeToo movement   Just swear #Kavanaugh in already and get this over with, before #liberals have an anxiety attack like 11/8/16 URL	0
679	1	#CoryBooker is not a hero, he is an American traitor and should be treated as such. Arrest, prosecute, and  carry out sentence. #KavanaughConfirmation URL via @USER	1
681	1	100 Round Goon Bitch Is You Kiddin Me🤣	1
690	1	@USER #MoreBS = MORE #BARRYSOETOROBULLSHIT	1
691	1	#tytlive OMG how can a Latino faith based woman think that Trump is Christian.  Wow, he is the poster child for immorality and hating Latinos	0
698	1	@USER #Carrey is a #pervert himself!	1
701	1	@USER nigga are you stupid your trash dont play with him play with your bitch 😂	1
702	1	#NoOneAskMe But here's my opinion #offset keeping this beef up between #cardiB and @USER he know Cardi slow and believe everything he says.. She is his meal ticket. I just think #offset need to sit his ugly ass down.	1
703	1	#ICYMI - Liberals' Favorite Myth That Obama Was a Law Professor Is Now Destroyed?! URL	1
711	1	@USER To demonstrate how wholly incapable of carrying a thought to its logical conclusion she is?	1
730	1	And she has a pet??? Fucking disgusting URL	1
732	1	"#LiberalHypocrisy #TacoBell When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" URL"	1
736	1	#BlackInkCrewCHI lily they don’t hate you....you Hate you. You are your own worst enemy cause you let your anger get in the way I legit feel like Shes one of the kids I Work with at my job	1
737	1	#JusticeForSoniasFather  Mr Usman buzdar sb! please respond to Sonia Iqbal daughter of PTI counsellor from okara whose father was killed during elections by nawaz league killers. She is saying she will commit suicide in front of media. Where is justice?	1
740	1	@USER - WORST POTUS.  EVER!	0
741	1	#Conservatives have no genetic ability to understand #hypocrisy or #irony. Right wing ideology gets ya all twisted in knots. #onpoli  #Ontario  #PartyOfYesteryear  @USER  #FraudNation URL	1
744	1	#OITNB. She is the worst public defender. Trailing her pen uner the words.	1
748	1	#TheView #BothamJean I don't believe #AmyGuyger she is a lying pos! I live near a police station..I hope and pray a cop doesn't bust up in my house thinking it's his/hers and kills me..my God..we/people of color are police prey..we're always in police cross-hairs..no matter what	1
749	1	#Antifa, September 22: Stop the fascist NVU in #Amsterdam! URL	0
751	1	And that’s why you were at NYFW cause your such a class act.. getcho wack ass outta here URL	1
755	1	#GreatestThingsAboutThe90s liberals weren’t unhinged	1
762	1	#Conservatives We mus pray for liberals. They trooly kno knot watt they do. I was brot up socialist democrat, by my wonderful, but, ignorant parents. I served inda military. I learnd I can serve Christ, too. Eye reel -eyesed CONSERVATIVISM was more closely aligned w God.	1
764	1	#disarmthem #antifa Please NO ONE be stupid enough to do this. Most of us DO NOT open carry, most of us carry concealed. Anyone stupid enough to do this, that is considered an act of aggression and you will be shot We also carry more than one weapon. We shoot to kill, not maim.	1
