	text	labels	predicted	cross_predicted
127	In Boris Johnson’s first visit to NI as PM, he said he was acting with 'complete impartiality', a claim immediately dismissed by Sinn Fein as 'laughable', as @PGMcNamara reports from Belfast	0	0	0
129	I don't think Amit has said anything wrong #IStandWithAmit everyone has their own choice &believe @ZomatoIN should respect all customer's in the same way as they did in this below case. Muslims want Halal chicken& halala wife so even Hindus can make their choice @RubikaLiyaquat	0	0	0
130	WELCOME TO THE 4TH REICH.... POST BREXIT CONCENTRATION CAMPS WILL BE THERE TO HELP YOU ADJUST...    MARK MY WORDS.	0	0	0
132	This is an extraordinarily compassionate, generous, and progressive decision by @ImranKhanPTI. While the rest of the world turns away refugees, Pakistan embraces them.    I hope Imran Khan will eventually grant citizenship to all Afghan and Bengali refugees.    #RefugeesAreWelcome 	0	0	0
134	“It is absolutely right that the government does all it can to support our Armed Forces from the day they enlist and for the rest of their lives. Veterans have given so much to the UK and it would be a dereliction of duty not to harness their potential.' – PM @BorisJohnson	0	0	0
136	Manab Bandyopadhyay, Press Secretary to Governor of West Bengal, Keshari Nath Tripathi: Governor, today, wrote to West Bengal CM Mamata Banerjee advising her to take immediate steps to provide security to doctors, & quick investigation of the incidents of assault on doctors. 	0	0	0
138	The presence of mixed motivations in conversion does not negate true conversion; it merely reinforces that those who come to faith are human beings, flawed and fallen, and that God is at work waking the dead to life. Resist cynicism; love extravagantly.	0	0	0
139	Mary are you going to condemn the rape of 3 children in Wexford last weekend or have you become so heartless that you just don't care?	0	0	0
141	During the #DemDebate, candidates address the rise in anti-Muslim hate crimes following the passage of the #MuslimBan. For more context and information about the ban, see our guide. #NoMuslimBanEver http://www.poligonnational.org/issues.html 	0	0	0
148	@hd_kumaraswamy @RahulGandhi @ArvindKejriwal @trspartyonline @SitaramYechury @MamataBanerji Unfortunate political devpt in India Dissolve all parties including INC. HDD, Sonia, 2Sharadjis, Mamata, Mayavati, Abhishek, Stalin, TRS, Jagmohan, Faruk& Chandrbabu take lead &save India.	0	0	0
150	I think majority are just giving him the benefit of doubt let's see what he does and if we are out by 31oct	0	0	0
152	Today in Scotland I toured a submarine at HMNB Clyde, and met some of the fantastic military personnel who do so much to keep us safe. The brave men and women who serve in our Armed Forces truly represent the pinnacle of British character. 	0	0	0
153	Mamata Didi refused to meet Governor and others.    Doctors refused to meet her.     Doctor: 1  Didi: 0 	0	0	0
157	Only 1300 cases of tripple talaq have been filed. How many incidents of nikah halala happened?	0	0	0
163	Has your Foreign Secretary managed to read it yet?	0	0	0
165	How a small Turkish city successfully absorbed half a million migrants #WorldRefugeeDay #refugeesarewelcome #Syria #Turkey 	0	0	0
166	Bro yhi dikkat h   Agar koi hindu k liye bolta h toh aplog usay bjp may ya rss may jod dete ho... Mere nearby may sab mla k khilaf h nd khulke bolte b h .. even kashmir k case may b sab hindu ne grl ko support kiya but twinkle k case may sab shanti becoz tapish muslim ta	0	0	0
167	Prime Minister Boris Johnson has reaffirmed his pledge to employ 20,000 new police officers in the next three years saying the UK needs 'strong and visible policing'.    He said the government will 'find some money' for salaries and kit.  #Borisjohnsonpm	0	0	0
173	Where is Mamata Banerji? Assembling ledears of 21 political Leaders at Brigade Parade ground Kolkata, she did emphatically declared 'Modi has become an expiry date PM'. Would she elucidate something on this?	0	0	0
178	#sharethetrophy #yeswekane ICC retains #kumardharmasena in elite panel.. A World Cup was robbed on the back of umpiring errors. What’s the message ICC building here? #nzrobbed #backtheblackcaps	0	0	0
182	Used to take my parents to speakers corner for a fun day out.  Now it's a national disgrace, soaked in diversity  not diverse opinions.  Islam is peace, or else.	0	0	0
183	This Photoshoot Of A Hindu-Muslim, Same Sex Couple Proves That Love Has No Boundaries https://www.scoopwhoop.com/lgbt/photoshoot-hindu-muslim-same-sex-couple-love-has-no-boundaries/#.c8uk53w2f …	0	0	0
185	Couldn't agree more. N.Ireland voted to remain.	0	0	0
188	Someone need specific then what is problem why zomato not done its better not make issue talk to amit shukla and every Hindu is not stand on meet shop dear others user so don't write this word halal or chicken	0	0	0
189	West Bengal CM, Mamata Banerjee: I do not want to invoke Essential Services Maintenance (ESMA) Act in the state. I want the junior doctors to resume work as we have accepted all their demands. 	0	0	0
190	Navika aunty bhi shock mein soch rahi hai yaar yeh toh humse bhi do kadam aagey hai pati patni @Pun_Starr @Nehr_who #ZomatoSaysNoToHate #Zomato 	0	0	0
197	For once I agree with you and support you.....but desperate times require a brave response, go fight for peace and the GFA in Westminster 	0	0	0
198	But PC is busy ordering food from Zomato	0	0	0
201	We are excited to welcome students from @dmuleicester this weekend to learn about the work we do @RdjRefugee and learn ways to support the refugee community. #refugeesarewelcome	0	0	0
202	Mamata Banerjee totally lost Plot in dealing with the Doctors. Immediate action could have prevented crisis. But BJP and Bhakts should refrain from commenting on Mamata’s Statements. In similar situation, BJP MOS wanted protesting doctors to become Naxals so that they can be shot 	0	0	0
204	TM taught us to include the year. #Brexit by 31 Oct 2019.	0	0	0
206	50k crowd capacity shd be the minimum standard these days if you compare with othr countries in d world.	0	0	0
208	You get one for his front, I'll buy one for his back.	0	0	0
209	The myth that Mamata Banerji's meteoric rise is based on 	0	0	0
210	Hundreds of forgotten #refugees gathering infront of #UNHCR office in #jakarta since few days ago   And ask #UNHCR to break it's silence and take a serious action about thire resettlement.	0	0	0
212	You always have a positive message, Boris; a breath of fresh air	0	0	0
217	Sure this has nothing to do with Boris wanting to prorogue parliament, it would be to his advantage to get the Executive in Northern Ireland up and running ASAP	0	0	0
220	Yes. Please take your places in Westminster and do something constructive. Rhetoric isn't useful.	0	0	0
224	your prime focus should be dumping Arlene foster and imposing equality in northern ireland	0	0	0
230	I suspect she omitted to say the obvious, namely that she of course is facilitating this situation.  #stopbrexitsavebritain #RevokeA50	0	0	0
233	It said “to vote “, but Trump is running for President, “to run”,  not “to vote”. All elected candidates disclosed their 10 years tax returns, why makes Trump a difference? #FuckTrump  #TrumpIsAFelon   If Trump has nothing to hide, presented them to his citizens to clear himself.	0	0	0
234	       तब - #ममताबनर्जी का घुसपैठिए पर #वार , अब - #तुष्टिकरण_वोटबैंक के लिए घुसपैठिए से #प्यार...  #दोगलेपन की सारी हदें पर हो गई हैं या अभी और बाकी है   #RefugeesGoBack 	0	0	0
236	I didn't realise it had ever broken down (or was ever allowed to operate fully in the first place because of British Government oppression).	0	0	0
237	 @BorisJohnson at the National Policing Board says his pledge to recruit 20,000 police officers over the next three years is an “absolute priority” and says he “backs our police all the way” and will “give them the resources and the confidence they need to get the job done”.	0	0	0
241	Boris has more pressure on him than May ever did. After 3 years of patience and watching we are not prepared to wait any longer. It really is “do or die” and @Nigel_Farage needs to be ready to strike.	0	0	0
244	Food has no religion unless it is  1.#Halal   2. #Halala	0	0	0
250	#Dhoni #ICC absolutely no doubt. MS Dhoni	0	0	0
251	#LoveSong For #Bataclan #PrayForParis: Aminata    Love Injected http://ift.tt/1JKGjDJ  #Eurovision2015  #ParisAttacks	0	0	0
252	धोनी के ये बेस्ट रिकॉर्ड, जिन्हें शायद ही कोई क्रिकेटर तोड़ पाए    #Sachin #TeamIndia #Dhoni #dhoniisback #dhoniinbillionhearts #ViratKohli #BCCI #ICC     @DHONIism	0	0	0
256	England  Women’s 139/5 after 20 overs   Australia 18/0 after 3 overs who will win #Ashes #Cricket #ICC #AUSWvsENGW #ENGWvsAUSW #ENGvAUS #AUSvENG	0	0	0
257	“I met some brilliant police graduates with @patel4witham in Birmingham today. We’re going to have 20,000 more police in the next three years, stopping violent crime and keeping communities safe.” – PM @BorisJohnson	0	0	0
262	When will our Administration make repealing the #Ban an immigration policy priority? #KeepFamiliesTogether #RepealTheBan #NoMuslimBanEver	0	0	0
263	Hindu-Muslim same-sex couple break new ground; pictures go viral. Same sex Couples have to come forward like these to show their support to same sex marriage.	0	0	0
264	WATCH LIVE: PM @BorisJohnson addresses @HouseofCommons as Prime Minister for the first time	0	0	0
265	#cricket #icc #crickets Live Cricket Steaming app https://play.google.com/store/apps/details?id=com.cricket.cricscorenow … Will richness of Jason Roy’s promise be compromised by England’s reckless approach?	0	0	0
267	#LoveSong & #PrayForParis: Leonard Cohen    Hallelujah http://ift.tt/o1DbtA     Song For #Bataclan #ParisAttacks	0	0	0
269	NO  I do not back that pledge.	0	0	0
271	Beta Whatsapp message par itna bharosa mat Karo ...  Aisa kanji nahi kaha tha...	0	0	0
275	The least of these my brethren. #nyc #brooklyn #bk #clintonhill #immigration #refugees #refugeeswelcome #refugeesarewelcome 	0	0	0
276	Brexit warning: Boris Johnson under threat as ERG vow to vote against his deal http://shr.gs/MC2b2wf 	0	0	0
278	Prediction:    @BorisJohnson doesn’t (can’t) deliver an orderly #brexit and we see the beginning of a global #Recession in 2020.	0	0	0
279	Some news channels r fast loosing their credibility ...	0	0	0
280	#LoveSong For #Bataclan #PrayForParis: Led Zeppelin    Stairway to Heaven http://ift.tt/oXN8zT   #ParisAttacks	0	0	0
284	During note-ban Mamata Banerji made vociferous protest for death of people but here in Kolkata after 7 days doctors' strike because of her arrgancy and sky touching ego 167 people died but no repentant from her part nor from TMC party..	0	0	0
290	This #Pesach put #Shoelaces on the #Seder plate as a reminder of #refugees & #asylumseekers in flight from war and persecution. #RefugeesAreWelcome ⁦@BHPS2011⁩ ⁦@LiberalJudaism⁩ ⁦@JCOREUK⁩ ⁦@safepassageuk⁩ ⁦@AlfDubs⁩ ⁦⁦@tikkunonline⁩	0	0	0
291	Seems the only doctor who can treat Mamata Banerjee in present situation... 	0	0	0
295	and tomorrow you will have forgotten all about this as you pivot to whoever you are talking to next.  I guess for NI you will go for direct rule.   Remember when you said this?	0	0	0
296	 20,000 extra police over the next three years      Greater powers of stop and search      Stopping the rise in violent crime      https://www.gov.uk/government/news/prime-minister-launches-police-recruitment-drive …	0	0	0
298	You can make a difference in the lives of women on the run. Join our team of passionate volunteers and help equip women with the skills and confidence they need to start a new life in Europe:   https://actionforwomen.ch/volunteer/  #SolidarityNotCharity #RefugeesareWelcome 	0	0	0
306	HEH: In Week 1, Boris Johnson Turns His Pursuit Of Brexit Into ‘Game Of Thrones.’ It started … https://pjmedia.com/instapundit/337467/ …	0	0	0
308	We’re so thrilled to say that our tour of #evrostheatre will be supported by @ace_national funding!     Next week we’re heading to @squarechapel and @Brasshouse_NSDT as part of @RefugeeWeek with tix starting at £PWYD to £5!     #refugeesarewelcome 	0	0	0
309	Parliament passed triple talaq bill, dhinchak pooja released her new songs, twitter is busy with BODMAS and Zomato, CCD founder died, Unnao case took an ugly turn.  It's been a really harsh week. huhhh!	0	0	0
311	Delivering a letter signed by 3000 to @SenSchumer #InternationalMigrantsDay #RefugeesAreWelcome 	0	0	0
314	#Dhoni in action in Indian occupied Kashmir. @ICC 	0	0	0
315	#Zomato 'send non Muslim delivery boy' is violative of Article 15 : Constitution of India. Note: Article 15 of the constitution states that no person shall be discriminated on the basis of religion, race, caste, sex or place of birth.	0	0	0
318	Honored to join H.E Ambassador McCarter @USAmbKenya on a highly important mission to #Dadaab, having very useful discussions with partners on solutions and hearing from #refugees their stories and views @KellyTClements @RaoufMazou . It was great. With many thanks!	0	0	0
321	“To every Arab and Arab American girl, I see you. You are worthy. Keep shining.” Powerful story & my hope is every teacher will read this to their class. I loved every bit of this book.  #library #literacy #syriancrisis #refugeesarewelcome #empathyneeded #begenerous #strongwomen	0	0	0
323	Welcome to BJP Let's strengthen BJP to win again in 2024 with 404 seats and to make new India under the leadership of honest modiji	0	0	0
326	Germany/Belgium/Bosnia Herzegovina: #Germany hands over a #Bosnian national to #Belgium in connection with the #November 2015 #ParisAttacks #terrorism #BREAKING http://sdb.esisc.org/Incident/View/ca167607-a160-4563-a0d4-ec5bdecabc4e …	0	0	0
327	A writer who was considered a bad influence on #Muslim youth during her lifetime is celebrated as an iconoclast today.  http://ow.ly/KrTL30pgfjg   #sex #islam #literature #women	0	0	0
330	Go for a *NI only* backstop which majority in NI support, then u can deliver brexit, avoid no deal, and no ties for GB. You secure your position and Tories get reelected. Cross party support for a *NI only* backstop possible to avoid no deal.	0	0	0
331	Oh come off it, do you actually think the give two s about Ireland you are deluded  its their biggest weapon, and if they refuse to negotiate, Oh well we are not responsible for their decisions, and they have to be responsible for the impact on Ireland!!	0	0	0
332	So logically you have no problem with the back stop in that case	0	0	0
334	Where were u when indian Muslim celebrate Pakistan victory against India. Why were u silent on mamata banerji	0	0	0
336	It’s simple @BorisJohnson: majority of people in UK today don’t want #Brexit - and %age objecting more likely to increase than decrease. @Conservatives have painted themselves in ideological corner and taking country down economic dead-end.	0	0	0
343	Well done on finding a quiet corner without any booing 	0	0	0
346	 @BorisJohnson has created a new Office for Veterans' Affairs to provide lifelong support to military personnel.     Headed up by Oliver Dowden and @JohnnyMercerUK, it will deliver the care our veterans deserve - from mental and physical health to education & employment.	0	0	0
347	.@CNN #DemDebate Moderators @DanaBashCNN @jaketapper @donlemon ask about the #MuslimBan & cap on refugees (a cap that may be slashed to 0 in 2020). The 2nd debate takes place in Detroit, Michigan – a city & state home to one of the largest U.S. Muslim populations.#NoMuslimBanEver	0	0	0
349	Prime Minister @BorisJohnson met @fmwales Mark Drakeford in Cardiff today.    The PM spoke about working with the Welsh Government and other Devolved Administrations, to make sure communities across the UK are ready to maximise the opportunities that Brexit will bring.	0	0	0
355	'Manchester has shown the UK that anything is possible and time and again this extraordinary country has actually delivered the same message to the world. And that is what we are going to do once more.' - PM @BorisJohnson	0	0	0
357	Go on then? All sorted is it?	0	0	0
360	I luv to shop at http://MadDogPac.com  & can't wait to chug morning coffee from my latest purchase, a #FuckTrump mug!  The made in America, cool swag, wearing apparel, mugs, lighters, bumper stickers & even poo bags are awesome!!  Thank you Claude for all you do! 	0	0	0
362	The truth is @BorisJohnson wants to keep the UK in the SM and CU, all the bluster of Leaving on the 31st October will be with a 2 year extension, same old WA, “Brexit means Brexit” lies, only one man can deliver Brexit @Nigel_Farage @brexitparty_uk @BrexitMeps	0	0	0
366	#Zomato This article of mine is a tribute to the courage and values shown by this company and its founder @deepigoyal   May this usher in a new era of sensibility and sanity. Thank you @ZomatoIN   http://saptarshinag.in/2019/07/31/i-love-you-zomato/ …	0	0	0
367	जानिए आखिर क्यों इकट्ठा करते हैं एम.एस धोनी स्टंप     #dhoni #ipl #csk #cricket #msdhoni #viratkohli #msd #rcb #rohitsharma #mahi #kohli #india #virat #teamindia #indiancricket #love   #cricketer #icc #indiancricketteam	0	0	0
371	Leave and then deal - in situations like this, any successful negotiator will tell you that. The EU will not agree to any deal that does not suit them best and the people of the UK will not accept being bullied either, so...	0	0	0
372	We spelt out the realities to Boris Johnson. Bluster & bravado can't mask the utterly destructive Brexit route he is taking. He is on course to upend our peace & prosperity with his eyes wide open. Time for all of us to stand together, to face this Tory belligerence down #Brexit	0	0	0
378	“Saving Bengal from Mamata”: political violence, ponzi scheme corruption & the doctors’ strike have alienated voters in both urban & rural West Bengal. A reckoning awaits ⁦@MamataOfficial⁩. My column	0	0	0
379	Proud to stand with Georgians who have immigrated or resettled here! #RefugeesAreWelcome #NoWall pic.twitter.com/D4FaCJLV4E	0	0	0
380	If circa 120 people landing on Britain’s shores qualifies as a #migrantcrisis then I can’t wait for the headlines after the 29th March.... #brexitshambles #brexit #refugeesarewelcome	0	0	0
381	Mr Johnson Don’t forget about us across the Pond . PM Modi is looking forward to working with you . Brexit will bring a new era of Deep cooperation between India and Great Britain. 	0	0	0
385	Infosys, the Indian outsourcing firm with more H-1Bs (58,000 between 2015 and 2017) than anyone else, has now spread its influence to the United Kingdom.    PM Boris Johnson has nominated Rishi Sunak, the son-in-law of Infosys' leader, as Treasury Secretary.  	0	0	0
386	So as you can clearly see above deals were very much mentioned and there is no evidence to support your claim.	0	0	0
388	“As we prepare for our bright future after Brexit, it’s vital we renew the ties binding our United Kingdom. Important projects like Growth Deals – today backed with £300m new funding – will open up opportunities across our Union.” - PM @BorisJohnson	0	0	0
390	“I salute the work of our Armed Services.    'And that’s one of the reasons we’re today announcing a new Office for Veterans’ Affairs, to look after people who serve our country.” – PM @BorisJohnson in Scotland.	0	0	0
393	Mamata Banerjee must order the arrest of 200 Muslim men who barged into the hospital and almost killed the resident medical intern(s) and apologise to the protesting doctors for her insensitivity... 	0	0	0
396	“My job as Prime Minister is to make our streets safer. Last week I promised 20,000 extra police officers, and that recruitment will now start in earnest.” - PM @BorisJohnson	0	0	0
398	He lied to us ,he’s talking about  staying in the SM and CU after October that is not leaving, learn from Mays methods and don’t get fooled again, we need to support TBP to hold him to his word.	0	0	0
400	Is there one Black person shocked about this “revelation”	0	0	0
401	If you have such high moral grounds than start returning money to customers who are not happy with their orders with #Zomato	0	0	0
405	https://www.facebook.com/events/643528052795898/ …   Please come along. 6 years too many. #closemanusisland #bringthemhere #notodetention #refugeesarewelcome	0	0	0
406	Stories like this one of families separated by administration policies must be met with action.   #KeepFamiliesTogether   #NoMuslimBanEver  https://www.huffpost.com/entry/syrian-wife-husband-separated-3-years-muslim-travel-ban …	0	0	0
407	Scottish Conservative leader @RuthDavidsonMSP  welcomed Prime Minister @BorisJohnson to the Scottish Parliament earlier today.	0	0	0
408	How many Muslim retweeted your post or atleast liked it... Self proclamations is little harmful. But then u being who you are.. I shall rest my case..	0	0	0
412	WATCH LIVE: PM @BorisJohnson talks about his vision to rebalance power, growth and productivity across the UK 	0	0	0
413	Hindu(India)  Muslim(Pakistan), same sex love story....    #LoveJihad of different level     https://www.indiatoday.in/trending-news/story/hindu-muslim-india-pakistan-same-sex-love-story-breaks-all-barriers-internet-is-in-love-1575224-2019-07-30?utm_source=JioXpressNews&utm_medium=JioXpressNews&utm_campaign=JioXpressNews …	0	0	0
414	  .  .  .  #worldcup #ipl #cricket #cwc #viratkohli #india #icc #indiancricketteam #rohitsharma #msdhoni #teamindia #dhoni #pakistan #virat  #bhfyp #tilltoss	0	0	0
415	Ball Pen Painting of MS Dhoni by me  @msdhoni @BleedDhonism @MSDhoniFanZone @MsDhonist @CricketNDTV @BCCI @ICC @fc_msdhoni @DHONIism	0	0	0
417	We should not let beautiful people get lost in bureaucracy. #refugeesarewelcome	0	0	0
419	#LoveSong For #Bataclan #PrayForParis: Bee Gees    I Started A Joke | http://ift.tt/Pt4IyC     #ParisAttacks	0	0	0
420	Young Eritreans are risking death to migrate. Here's why https://wef.ch/2Gz5xK0  #Refugees #Migration	0	0	0
421	These can include a desire to please parents, a hope to obtain refugee status, the chance to befriend a Westerner, the longing for community, the desire for a spouse or job, and so on.	0	0	0
426	HEY @JustinTrudeau !! Is this true below? Is it you  #refugeecrisis #refugeesgoback #refugeesnowelcome  @TarekFatah	0	0	0
431	Unusual times call for unusual acts. It's time seven empty seats in Westminister were sat in.	0	0	0
432	“Time for all of us to stand together, to face this Tory belligerence down”.  In that case, take ur WM seats or don’t stand. Tweets & press confs are NOT representation. I lived thru the Troubles so I know this is sensitive but for God’s sake remember the past but move forward.	0	0	0
434	Told u to tell em to calm down amongst the ppls	0	0	0
443	If you really care what people think & you believe the majority of people would back this reckless non-plan, then why not put it to the people with a #PeoplesVote, instead of using meaningless twitter pledges to mine data? Or would that be too democratic for   @BorisJohnson  ?	0	0	0
446	#QetranAsteroidIsFlyingIntoEarth  #5YearsWithRedVelvet    The right of the poor (Muslim and non Muslim) from the rich (Muslim and non Muslim)  http://www.the-greatnews.com/showthread.php?28606 …  Happy Birthday Stay  Kathryn and Alden	0	0	0
448	You have faffed enough, job done, now go home.	0	0	0
456	In case you missed this!   You're uniting the country alright  Ireland 	0	0	0
458	I think it's due to folk not understanding the history or even knowing N.I.	0	0	0
462	We in this Government will work flat out to give this country the leadership it deserves. That work begins now	0	0	0
464	This Photoshoot Of A Hindu-Muslim, Same Sex Couple Proves That Love Has No Boundaries https://www.scoopwhoop.com/lgbt/photoshoot-hindu-muslim-same-sex-couple-love-has-no-boundaries/?ref=social&type=fb&b=0 …	0	0	0
466	Love Is Love: This Dreamy Photoshoot Of Same Sex Hindu-Muslim Couple Goes Viral https://www.indiatimes.com/trending/human-interest/this-dreamy-photoshoot-of-same-sex-hindu-muslim-couple-is-proof-that-there-are-no-t-cs-in-love-372499.html …	0	0	0
467	Funny, in all your years in politics, you've never  mentioned it.	0	0	0
473	@VtvGujarati      @isudan_gadhvi      @golanihemant     @patelkeyur660     @yuvrajsinh6565     @joshipuradj     @kirankumarmakw1     @adgpi     @PMOIndia     @narendramodi     @BJP4Gujarat     @INCGujarat     @ICC     @BCCI   @msdhoni   #Dhoni   #dhoni07   #armydhoni7   #IndianArmy	0	0	0
